procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 74496896 143552 1080672    0    0     0     0    6    8 12  6 82  0  0
 7  0      0 73363720 143552 1081044    0    0     0    78 186507 135901 35  6 59  0  0
13  0      0 73133560 143556 1081072    0    0     0    14 309285 188369 17  7 76  0  0
 5  0      0 72827792 143556 1081072    0    0     0     3 388637 220234 19  7 74  0  0
 4  0      0 72480632 143556 1081072    0    0     0     0 390944 225087 23  7 71  0  0
26  0      0 71788960 143556 1081072    0    0     0     8 215694 217657 29  8 63  0  0
 7  0      0 70408856 143560 1081072    0    0     0     6 32952 268973 28 11 61  0  0
22  0      0 68995008 143560 1081076    0    0     0    75 31910 279467 23 12 65  0  0
15  0      0 67991008 143560 1081108    0    0     0     6 32508 294092 23 11 65  0  0
 7  0      0 67376328 143564 1081076    0    0     0     6 33213 291138 23 11 66  0  0
13  0      0 66834224 143564 1081076    0    0     0     0 30745 265920 20 12 68  0  0
17  0      0 66199248 143564 1081076    0    0     0     0 29649 251022 19 12 69  0  0
 8  0      0 65668824 143564 1081108    0    0     0     2 29589 252315 19 12 69  0  0
 6  0      0 65200104 143564 1081108    0    0     0    33 29386 250289 19 12 69  0  0
12  0      0 65004512 143564 1081080    0    0     0    22 29952 248127 19 12 70  0  0
 6  0      0 65000352 143564 1081080    0    0     0     8 29219 255381 19 12 70  0  0
12  0      0 64946172 143564 1081112    0    0     0     0 29206 254724 19 11 69  0  0
10  0      0 64935500 143568 1081112    0    0     0     6 29241 258410 19 12 69  0  0
 7  0      0 64949500 143568 1081080    0    0     0     0 29150 257743 19 11 70  0  0
 9  0      0 64950076 143572 1081120    0    0     0    33 28541 252408 18 12 70  0  0
10  0      0 64934720 143576 1081152    0    0     0    18 28614 255128 18 11 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 64923644 143584 1081152    0    0     0     6 29010 256324 19 12 70  0  0
 5  0      0 64932056 143584 1081124    0    0     0     0 29189 255271 19 11 70  0  0
 7  0      0 64932224 143584 1081124    0    0     0     6 28496 252075 18 11 70  0  0
 9  0      0 64919608 143584 1081156    0    0     0     0 28408 252408 18 11 70  0  0
10  0      0 64913460 143592 1081156    0    0     0    26 29090 257603 19 12 70  0  0
 7  0      0 64893780 143596 1081124    0    0     0    20 29170 255383 19 12 70  0  0
 8  0      0 64894208 143596 1081128    0    0     0    10 28712 252968 19 11 70  0  0
 9  0      0 64892604 143596 1081128    0    0     0     2 28611 250750 18 12 70  0  0
 5  0      0 64890216 143596 1081128    0    0     0     2 29150 258219 19 12 70  0  0
14  0      0 64888556 143596 1081128    0    0     0     6 29156 256693 19 12 70  0  0
