procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 74475272 145852 1101384    0    0     0     0    4    8 12  7 81  0  0
 6  0      0 73293760 145852 1101728    0    0     0     0 180157 129019 37  6 58  0  0
 5  0      0 73054488 145852 1101728    0    0     0    72 322062 196468 18  7 75  0  0
 7  0      0 72764704 145852 1101760    0    0     0     9 387083 217654 20  7 73  0  0
 9  0      0 72388672 145852 1101728    0    0     0     6 388114 218092 22  7 71  0  0
 8  0      0 71850304 145852 1101728    0    0     0     3 260932 223601 24  8 68  0  0
 3  0      0 70558208 145856 1101728    0    0     0     6 46525 256283 32 10 57  0  0
13  0      0 69146896 145860 1101732    0    0     0    74 34006 280445 24 12 64  0  0
 8  0      0 68080672 145864 1101764    0    0     0     6 34030 284954 24 12 64  0  0
 9  0      0 67399656 145864 1101732    0    0     0     6 32805 289695 23 12 65  0  0
11  0      0 66857472 145864 1101732    0    0     0     0 31558 273054 20 12 68  0  0
 6  0      0 66191232 145864 1101732    0    0     0     6 30756 266626 20 12 68  0  0
 5  0      0 65620632 145868 1101732    0    0     0     9 30176 255747 19 12 69  0  0
 9  0      0 65155276 145868 1101732    0    0     0    42 28951 248071 19 12 69  0  0
 7  0      0 64938696 145868 1101736    0    0     0    13 30996 255480 19 12 69  0  0
 8  0      0 64935100 145868 1101736    0    0     0     7 29546 259083 19 12 69  0  0
 9  0      0 64903760 145868 1101736    0    0     0     0 28796 253283 19 11 70  0  0
16  0      0 64873364 145872 1101764    0    0     0     6 29968 262196 19 11 69  0  0
13  0      0 64892612 145872 1101752    0    0     0     0 29770 259759 19 12 69  0  0
 9  0      0 64878204 145872 1101824    0    0     0    41 28816 254441 19 12 70  0  0
10  0      0 64890736 145876 1101792    0    0     0    10 29865 265224 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 64898836 145880 1101796    0    0     0    11 28799 252435 19 12 70  0  0
11  0      0 64888592 145884 1101796    0    0     0     6 29526 258916 20 12 69  0  0
10  0      0 64889748 145884 1101796    0    0     0     6 29527 259749 19 12 69  0  0
 9  0      0 64889384 145884 1101796    0    0     0     0 28695 252159 19 11 70  0  0
15  0      0 64869808 145884 1101828    0    0     0    16 29846 261632 19 12 69  0  0
 5  0      0 64854616 145884 1101796    0    0     0    23 29613 257249 19 12 69  0  0
 4  0      0 64837960 145884 1101800    0    0     0     7 28754 254316 19 12 70  0  0
 2  0      0 64852640 145884 1101800    0    0     0     5 30181 264963 19 12 69  0  0
13  0      0 64851060 145888 1101800    0    0     0     6 30178 265540 19 11 69  0  0
 7  0      0 64817300 145892 1101832    0    0     0     6 29736 259813 20 11 69  0  0
13  0      0 64838788 145900 1101800    0    0     0    22 28969 257345 19 12 70  0  0
15  0      0 64838408 145904 1101800    0    0     0    18 30752 270722 20 12 69  0  0
 7  0      0 64838268 145908 1101800    0    0     0     9 30032 265096 19 12 69  0  0
12  0      0 64836216 145908 1101836    0    0     0     9 30531 267199 19 12 69  0  0
 8  0      0 64821072 145908 1101804    0    0     0     6 28664 253964 18 12 70  0  0
12  0      0 64836008 145912 1101804    0    0     0     6 30036 265065 19 12 69  0  0
13  0      0 64834440 145912 1101804    0    0     0    12 30389 266060 19 12 69  0  0
13  0      0 64832436 145916 1101804    0    0     0    26 30180 266953 20 12 69  0  0
11  0      0 64823760 145924 1101836    0    0     0    13 29121 259624 19 11 69  0  0
 8  0      0 64823112 145928 1101808    0    0     0    13 29568 260266 19 12 69  0  0
 8  0      0 64822608 145928 1101852    0    0     0     0 30102 264711 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 64823156 145932 1101852    0    0     0     7 30463 267047 19 12 69  0  0
 3  0      0 64819964 145936 1101888    0    0     0    16 30265 265379 19 12 69  0  0
 7  0      0 64808520 145940 1101856    0    0     0    23 28506 253057 18 12 70  0  0
12  0      0 64820884 145948 1101856    0    0     0     6 29936 264921 19 12 69  0  0
 7  0      0 64819004 145948 1101856    0    0     0     7 30301 267980 19 12 69  0  0
 7  0      0 64810904 145952 1101860    0    0     0     9 30324 265909 20 12 69  0  0
 9  0      0 64810416 145960 1101892    0    0     0     6 29279 258302 19 12 69  0  0
 5  0      0 64808548 145964 1101856    0    0     0    13 29628 263178 19 12 69  0  0
 8  0      0 64812528 145964 1101860    0    0     0    24 30302 264946 19 12 69  0  0
12  0      0 64811648 145972 1101860    0    0     0     9 30459 266093 20 12 69  0  0
17  0      0 64788732 145980 1101892    0    0     0    14 29786 263403 19 11 70  0  0
 9  0      0 64810764 145984 1101860    0    0     0     6 29056 256413 19 12 70  0  0
 5  0      0 64809120 145984 1101864    0    0     0     2 30293 264231 19 12 69  0  0
 9  0      0 64801072 145988 1101864    0    0     0    14 30201 264548 20 12 69  0  0
 7  0      0 64801004 145988 1101896    0    0     0    26 30363 266682 19 11 69  0  0
 6  0      0 64785984 145988 1101864    0    0     0    14 28978 255771 19 12 70  0  0
 6  0      0 64800620 145992 1101864    0    0     0    13 30160 264867 19 11 69  0  0
10  0      0 64800764 145992 1101864    0    0     0     6 30245 266708 19 12 69  0  0
 5  0      0 64799532 145992 1101864    0    0     0     0 30299 266255 19 12 69  0  0
 2  0      0 64779324 145992 1101892    0    0     0    22 29624 260055 19 11 69  0  0
 5  0      0 64797908 145996 1101860    0    0     0    16 29355 256579 19 11 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 64787960 145996 1101900    0    0     0    20 30156 263797 20 12 69  0  0
11  0      0 64787744 145996 1101900    0    0     0    10 30515 268677 20 12 69  0  0
 6  0      0 64784660 146000 1101932    0    0     0     9 30277 266021 19 12 69  0  0
13  0      0 64767288 146004 1101900    0    0     0     6 29061 257226 19 12 70  0  0
11  0      0 64786288 146004 1101904    0    0     0     4 29959 268002 19 12 69  0  0
 6  0      0 64785364 146004 1101904    0    0     0    21 30160 263715 19 12 69  0  0
28  0      0 64761660 146008 1101908    0    0     0    22 57916 399612 38 16 47  0  0
60  0      0 64741544 146008 1101940    0    0     0     6 105788 633264 66 23 11  0  0
49  0      0 64724548 146008 1101908    0    0     0    17 105916 635011 66 23 12  0  0
 4  0      0 64722916 146012 1101936    0    0     0    17 99157 608699 61 22 17  0  0
 6  0      0 64706688 146016 1101936    0    0     0     8 29559 263851 19 12 69  0  0
 8  0      0 64708208 146016 1101972    0    0     0    21 30414 268462 19 12 69  0  0
12  0      0 64722628 146016 1101940    0    0     0    26 30344 268186 19 12 69  0  0
 7  0      0 64711980 146016 1101940    0    0     0     2 29702 262791 20 12 69  0  0
 8  0      0 64695640 146016 1101940    0    0     0     8 29903 265721 19 12 69  0  0
12  0      0 64696352 146016 1101940    0    0     0    10 30210 270049 20 12 69  0  0
 5  0      0 64711212 146016 1101940    0    0     0     3 30376 268007 20 12 68  0  0
14  0      0 64713984 146020 1101940    0    0     0    15 29641 264151 19 12 69  0  0
 4  0      0 64712916 146028 1101944    0    0     0    14 29740 264113 19 12 69  0  0
 5  0      0 64695920 146036 1101944    0    0     0    12 30501 270646 20 12 68  0  0
 8  0      0 64711020 146040 1101944    0    0     0    14 30122 268860 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
53  0      0 64711776 146044 1101944    0    0     0     2 33790 284325 22 12 66  0  0
19  0      0 64708176 146044 1101988    0    0     0     6 107649 649579 66 23 11  0  0
51  0      0 64686768 146048 1101988    0    0     0    10 107599 647591 67 23 10  0  0
62  0      0 64687728 146052 1101988    0    0     0    20 107474 650603 66 23 11  0  0
26  0      0 64665812 146056 1101992    0    0     0    14 107847 649769 66 23 11  0  0
41  0      0 64664380 146056 1101992    0    0     0    14 108375 655140 66 23 11  0  0
55  0      0 64638284 146056 1101992    0    0     0     6 107516 645530 66 23 11  0  0
 9  0      0 64638292 146056 1101992    0    0     0    10 93242 579035 58 21 21  0  0
14  0      0 64638168 146056 1101992    0    0     0    15 29650 264349 19 12 69  0  0
14  0      0 64638596 146056 1101992    0    0     0    11 29370 263572 19 12 69  0  0
 4  0      0 64637000 146056 1102028    0    0     0    14 30047 270400 19 12 69  0  0
11  0      0 64634784 146060 1101996    0    0     0    14 30292 270193 20 12 68  0  0
14  0      0 64635004 146060 1101996    0    0     0     9 29744 264870 19 12 69  0  0
 9  0      0 64635656 146060 1101996    0    0     0     6 29823 264710 19 12 69  0  0
16  0      0 64597584 146060 1102028    0    0     0     8 29994 268836 19 12 69  0  0
 8  0      0 64618384 146060 1102028    0    0     0    14 30127 266924 19 12 69  0  0
11  0      0 64636136 146064 1101996    0    0     0    21 29932 266102 19 12 69  0  0
10  0      0 64637440 146064 1102000    0    0     0    10 29449 263346 19 12 69  0  0
 2  0      0 64620964 146064 1102032    0    0     0     2 29580 264471 19 12 69  0  0
12  0      0 64620928 146064 1102032    0    0     0    12 29998 268221 19 12 69  0  0
17  0      0 64638780 146068 1101996    0    0     0    12 30033 267678 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 64641292 146068 1102000    0    0     0     7 29704 264705 19 12 69  0  0
12  0      0 64641220 146068 1101996    0    0     0    13 30904 275088 20 12 68  0  0
 5  0      0 64623784 146068 1102068    0    0     0    27 30394 271781 19 12 69  0  0
 5  0      0 64642440 146072 1102040    0    0     0     6 30121 270571 19 12 69  0  0
 9  0      0 64645400 146072 1102040    0    0     0     3 31110 276099 20 12 68  0  0
12  0      0 64645716 146072 1102040    0    0     0    15 31000 277953 20 12 68  0  0
12  0      0 64646976 146072 1102104    0    0     0    12 31026 275273 19 12 69  0  0
10  0      0 64647344 146072 1102040    0    0     0    20 29613 262964 19 12 69  0  0
11  0      0 64647932 146072 1102040    0    0     0     9 31441 277094 20 12 68  0  0
