procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 74516128 141672 1066600    0    0     0     0    9    7 12  6 82  0  0
10  0      0 73397816 141672 1066940    0    0     0    81 194392 139192 35  6 60  0  0
 8  0      0 73192600 141672 1066936    0    0     0     0 410032 248004 19  7 73  0  0
 9  0      0 72880048 141676 1066968    0    0     0     7 384951 220372 20  7 73  0  0
15  0      0 72484392 141680 1066936    0    0     0     6 376788 217679 23  7 71  0  0
10  0      0 71524744 141680 1066936    0    0     0     9 109819 222473 36  9 56  0  0
11  0      0 70067976 141680 1066936    0    0     0     0 33679 290158 25 12 63  0  0
12  0      0 68683376 141684 1066940    0    0     0    75 33973 297785 24 12 64  0  0
 8  0      0 67840560 141684 1066940    0    0     0     6 32556 295159 23 11 66  0  0
11  0      0 67304432 141684 1066940    0    0     0     6 31784 273474 21 12 67  0  0
 7  0      0 66714320 141684 1066940    0    0     0     9 32128 278391 21 12 68  0  0
 9  0      0 65998700 141684 1066940    0    0     0     0 31268 264938 20 12 68  0  0
14  0      0 65418484 141684 1066972    0    0     0     9 31269 269682 20 12 68  0  0
 6  0      0 64906248 141684 1066940    0    0     0    34 28911 247093 19 12 69  0  0
 8  0      0 64786312 141684 1066944    0    0     0    20 31259 263171 20 12 69  0  0
 9  0      0 64692544 141684 1066944    0    0     0     0 30291 264285 19 12 69  0  0
 9  0      0 64628664 141684 1066944    0    0     0     6 30856 268149 20 12 69  0  0
11  0      0 64610620 141692 1066944    0    0     0     6 30662 268414 20 12 69  0  0
13  0      0 64626728 141692 1066944    0    0     0     0 29627 260549 19 12 69  0  0
 5  0      0 64626344 141692 1066984    0    0     0    33 30470 268215 19 12 69  0  0
 9  0      0 64621828 141692 1066984    0    0     0    22 30502 265984 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 64589024 141696 1067020    0    0     0     6 30007 266159 19 12 69  0  0
 4  0      0 64620860 141696 1066988    0    0     0     9 29111 254968 19 12 70  0  0
 6  0      0 64614116 141696 1066988    0    0     0     0 30482 265481 19 12 69  0  0
10  0      0 64609588 141696 1066988    0    0     0     6 30430 267429 19 12 69  0  0
14  0      0 64565384 141696 1067020    0    0     0    25 30478 265997 20 12 69  0  0
 6  0      0 64565184 141696 1066988    0    0     0    22 29518 259200 19 12 69  0  0
15  0      0 64569080 141696 1066992    0    0     0    10 29570 261034 19 12 70  0  0
 6  0      0 64568296 141696 1066992    0    0     0     0 30542 267481 19 12 69  0  0
 8  0      0 64567928 141696 1066992    0    0     0     6 30630 265402 19 12 69  0  0
16  0      0 64539056 141700 1067024    0    0     0     6 29945 264646 19 12 69  0  0
 6  0      0 64559996 141704 1066996    0    0     0    18 29066 256962 19 12 70  0  0
13  0      0 64559908 141704 1066996    0    0     0    22 30259 265352 19 12 69  0  0
11  0      0 64555968 141704 1066996    0    0     0    15 30443 268059 19 12 69  0  0
 6  0      0 64548156 141704 1067032    0    0     0     0 30427 267479 19 12 69  0  0
11  0      0 64528984 141704 1067000    0    0     0     6 28971 257661 19 12 69  0  0
 9  0      0 64548812 141704 1067000    0    0     0    14 29707 263668 19 12 69  0  0
 7  0      0 64547908 141704 1067028    0    0     0    28 28808 254187 19 12 70  0  0
 4  0      0 64548544 141704 1067028    0    0     0    28 28820 253782 18 12 70  0  0
18  0      0 64544956 141708 1067028    0    0     0     6 28807 254611 19 12 70  0  0
 2  0      0 64543092 141712 1067060    0    0     0    14 29573 260986 19 11 69  0  0
 7  0      0 64543384 141712 1067072    0    0     0     6 29509 258867 19 12 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 64544432 141712 1067072    0    0     0     0 29002 254456 19 12 70  0  0
13  0      0 64541500 141712 1067076    0    0     0    14 28800 253260 19 12 70  0  0
 8  0      0 64541444 141716 1067072    0    0     0    30 29597 260792 19 12 69  0  0
11  0      0 64539284 141716 1067076    0    0     0     9 29439 260171 19 12 70  0  0
 6  0      0 64539484 141716 1067076    0    0     0     0 29193 256198 19 12 69  0  0
 4  0      0 64535116 141716 1067080    0    0     0    11 28788 253820 19 12 70  0  0
 7  0      0 64533272 141716 1067112    0    0     0     0 29456 262284 19 12 69  0  0
18  0      0 64533208 141716 1067080    0    0     0    14 29609 261280 19 12 69  0  0
10  0      0 64532968 141716 1067080    0    0     0    30 28773 252167 18 12 70  0  0
 5  0      0 64531740 141716 1067080    0    0     0    15 28957 253918 19 12 70  0  0
 1  0      0 64532528 141716 1067112    0    0     0     0 29643 260747 19 12 69  0  0
 4  0      0 64531208 141716 1067080    0    0     0     6 29401 261320 19 12 69  0  0
 7  0      0 64531140 141716 1067084    0    0     0     8 29224 256279 18 12 70  0  0
 9  0      0 64528112 141716 1067084    0    0     0    15 28814 254380 19 12 70  0  0
