procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 64008644 149208 1129632    0    0     0     0    6    8 13  7 80  0  0
 1  1      0 61883356 149212 1129980    0    0     0    74 33838 79608 42  8 50  0  0
23  0      0 59899040 149220 1129988    0    0     0    15 39314 127434 37 12 51  0  0
 0  0      0 59571784 149220 1129988    0    0     0     0 39900 128908 36 12 53  0  0
 1  0      0 59393032 149220 1130020    0    0     0     6 37015 131574 28 11 61  0  0
22  0      0 59329492 149220 1129988    0    0     0     6 34262 137378 18 12 70  0  0
 1  0      0 59344172 149220 1129988    0    0     0     2 35560 144070 19 12 68  0  0
19  0      0 59353280 149220 1129992    0    0     0    70 36421 145808 19 12 69  0  0
 0  0      0 59335720 149220 1130024    0    0     0    14 35761 144501 19 12 69  0  0
 4  0      0 59307080 149220 1129992    0    0     0     9 35070 140923 18 12 69  0  0
 1  0      0 59308768 149220 1129992    0    0     0     0 37407 139123 21 13 67  0  0
 0  0      0 59308492 149224 1129992    0    0     0     6 39090 138475 22 12 66  0  0
32  0      0 59287212 149228 1129992    0    0     0     6 37238 131601 21 12 66  0  0
36  0      0 59302448 149228 1129992    0    0     0     2 37831 133775 22 12 66  0  0
 1  0      0 59299376 149228 1129996    0    0     0    46 38314 133830 22 12 66  0  0
 0  0      0 59300324 149228 1130028    0    0     0     7 38683 136439 22 12 66  0  0
15  0      0 59282872 149232 1129996    0    0     0     6 36331 128095 20 12 68  0  0
 8  0      0 59300640 149240 1130020    0    0     0    22 36886 131136 21 12 67  0  0
24  0      0 59300940 149244 1130020    0    0     0     3 36560 131429 20 12 68  0  0
 1  0      0 59303076 149244 1130060    0    0     0     0 35962 126541 20 12 68  0  0
 3  0      0 59303260 149244 1130060    0    0     0    30 37916 135988 21 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 59298452 149244 1130064    0    0     0    21 37097 134021 21 12 67  0  0
 2  0      0 59300188 149248 1130064    0    0     0    11 35767 127447 20 12 68  0  0
17  0      0 59294664 149248 1130096    0    0     0     6 37293 131687 21 12 68  0  0
33  0      0 59267076 149252 1130096    0    0     0     6 36655 131682 20 12 68  0  0
 1  0      0 59293508 149256 1130064    0    0     0     6 36854 130867 21 12 67  0  0
