Checksummer MsgSize Idle
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 70
Adler32 100 69
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 53
Adler32 100 34
Adler32 100 68
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 70
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 69
Adler32 100 69
Adler32 100 69
Adler32 100 68
Adler32 100 68
Adler32 100 68
Adler32 16000 65
Adler32 16000 62
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 65
Adler32 16000 66
Adler32 16000 66
Adler32 16000 66
Adler32 16000 65
Adler32 16000 66
Adler32 16000 65
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 61
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 61
Adler32 16000 60
Adler32 16000 58
Adler32 16000 59
Adler32 16000 58
Adler32 16000 59
Adler32 16000 59
Adler32 16000 57
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 60
Adler32 16000 61
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 62
Adler32 16000 66
Adler32 16000 66
Adler32 16000 65
Adler32 16000 65
Adler32 16000 58
Adler32 16000 60
Adler32 16000 58
Adler32 16000 60
Adler32 16000 58
Adler32 16000 58
Adler32 16000 60
Adler32 16000 59
Adler32 16000 60
Adler32 16000 58
Adler32 16000 61
Adler32 16000 59
Adler32 16000 60
Adler32 16000 61
Adler32 16000 58
Adler32 16000 60
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 61
Adler32 16000 59
Adler32 16000 59
Adler32 16000 58
Adler32 16000 61
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 61
Adler32 16000 60
Adler32 16000 61
Adler32 16000 61
Adler32 16000 58
Adler32 16000 58
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 61
Adler32 16000 61
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 62
Adler32 16000 65
Adler32 16000 65
Adler32 16000 66
Adler32 16000 66
Adler32 16000 66
Adler32 16000 66
Adler32 16000 65
Adler32 16000 66
Adler32 16000 66
Adler32 16000 66
Adler32 16000 65
Adler32 16000 65
Adler32 16000 66
Adler32 16000 65
Adler32 16000 65
Adler32 16000 64
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 59
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 61
Adler32 16000 61
Adler32 16000 59
Adler32 16000 60
Adler32 16000 58
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 58
Adler32 16000 60
Adler32 16000 59
Adler32 16000 65
Adler32 16000 65
Adler32 16000 64
Adler32 16000 60
Adler32 16000 60
Adler32 16000 57
Adler32 16000 57
Adler32 16000 59
Adler32 16000 58
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 58
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 58
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 60
Adler32 16000 58
Adler32 16000 60
Adler32 16000 58
Adler32 16000 58
Adler32 16000 58
Adler32 16000 59
Adler32 16000 59
Adler32 16000 59
Adler32 16000 57
Adler32 16000 60
Adler32 16000 59
Adler32 16000 58
Adler32 16000 59
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 57
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 60
Adler32 16000 59
Adler32 16000 58
Adler32 16000 58
Adler32 16000 58
Adler32 16000 59
Adler32 16000 59
Adler32 16000 58
Adler32 16000 58
Adler32 16000 60
Adler32 16000 60
Adler32 16000 58
Adler32 16000 59
Adler32 16000 60
Adler32 16000 61
Adler32 16000 58
Adler32 16000 58
Adler32 16000 57
Adler32 16000 60
Adler32 16000 59
